Geneid,SKA03_32,SKA03_36,SKA03_14,SKA03_43,SKA03_8,SKA03_39,SKA03_34,SKA03_9,SKA03_3,SKA03_41,SKA03_11,SKA03_49,SKA03_59,SKA03_5,SKA03_45,SKA03_28,SKA03_16,SKA03_22,SKA03_2,SKA03_19,SKA03_25,SKA03_48,SKA03_20,SKA03_38,SKA03_56,SKA03_29,SKA03_33,SKA03_24,SKA03_15,SKA03_10,SKA03_58,SKA03_46,SKA03_27
DDX11L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASH7P,155,182,418,185,869,151,108,482,450,260,257,182,214,323,177,239,396,263,311,192,176,146,480,124,148,210,132,365,270,560,137,184,245
MIR6859-1,0,0,0,4,6,0,0,0,0,0,0,3,0,2,0,6,2,0,0,1,0,0,1,1,1,1,0,0,2,8,0,1,1
MIR1302-2HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100996442,2,0,2,8,4,2,3,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,4,3,2
SEPTIN14P18,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
LOC729737,6,0,0,2,8,0,0,2,0,0,0,0,0,0,4,2,6,0,4,0,0,0,2,0,0,0,0,4,0,0,3,0,2
LOC102725121,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2,1,2,2,4,0,0,0,0,0,0
WASH9P,181,121,179,102,407,128,92,184,168,98,115,105,171,146,119,136,131,93,99,101,122,131,157,83,156,119,110,215,142,127,147,157,198
MIR6859-2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC107985721,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RPL23AP21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
RPL23AP24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LOC112268260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEPTIN14P13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
LOC100132287,4,3,3,6,16,10,16,5,0,2,4,10,4,0,14,4,4,3,0,0,0,6,6,0,0,2,4,5,12,11,14,10,27
LOC105378947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR12136,0,0,0,0,8,0,0,6,2,0,2,0,0,0,1,0,8,2,1,0,0,2,3,0,0,0,0,0,0,4,0,0,0
WBP1LP6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEPTIN14P14,2,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,4,0,0
LOC100288069,28,42,34,38,87,35,43,32,0,42,47,73,39,14,43,54,32,39,7,31,30,79,52,30,42,51,76,42,52,36,71,54,148
LINC01409,3,9,0,8,4,12,1,0,0,11,1,6,5,0,2,2,5,6,2,6,0,15,7,5,2,4,0,10,2,6,1,4,24
FAM87B,2,10,6,1,4,2,1,6,0,0,0,6,2,0,0,4,0,0,0,1,2,0,6,0,11,1,0,0,0,0,0,0,4
LINC00115,6,2,16,0,27,8,6,4,4,5,2,10,4,2,6,4,12,4,0,4,8,4,1,2,4,4,4,8,6,18,16,8,5
LINC01128,167,324,202,210,609,266,196,293,354,254,236,369,237,252,277,177,243,167,216,295,176,300,419,257,187,150,219,390,331,286,229,327,492
LOC107984850,2,0,2,4,7,0,0,8,4,2,0,2,2,2,2,4,0,2,3,3,0,4,2,0,0,14,4,0,8,0,0,4,4
FAM41C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
TUBB8P11,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC284600,6,2,2,0,10,0,0,10,6,0,2,0,16,0,0,10,6,14,2,0,0,0,4,2,0,6,0,2,6,8,2,1,6
LINC02593,0,0,0,0,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,4,2,1
LOC107985728,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
SAMD11,0,26,18,4,38,20,10,14,10,14,4,5,22,5,10,4,10,2,2,10,7,2,20,8,6,15,6,20,7,3,33,10,14
NOC2L,3814,3470,5562,5302,12858,3280,3221,7234,7727,5396,5206,5758,3291,7696,5369,2966,4594,2812,5949,4853,2775,5718,7204,3347,3559,2610,3288,5318,6203,8176,3453,6238,5670
KLHL17,65,90,95,116,374,97,56,172,108,91,103,145,118,136,115,50,126,82,91,88,88,147,136,107,70,73,45,133,130,125,66,104,179
PLEKHN1,91,58,298,147,369,51,30,439,136,126,207,170,52,201,124,139,141,141,179,136,118,122,188,70,75,106,82,130,167,400,69,164,164
PERM1,0,0,8,4,26,0,6,8,6,2,6,2,8,4,8,4,6,10,2,10,6,4,26,11,6,5,0,8,4,8,9,2,3
HES4,343,316,1412,758,2561,349,258,1467,1242,1022,908,652,364,1278,932,564,1100,611,982,926,796,567,1342,346,324,536,294,927,921,1525,403,736,781
RPL39P12,0,1,2,7,4,4,0,5,3,0,1,6,4,6,4,1,1,5,0,7,12,2,2,2,1,0,0,2,1,0,2,2,4
ISG15,311,369,498,160,745,510,532,500,392,190,202,173,703,382,164,387,601,429,329,295,264,124,359,772,662,282,197,285,288,588,552,203,199
AGRN,3083,5020,4042,5133,12105,6408,3465,5197,4261,4669,4129,5119,8046,4674,6062,2177,4068,2797,3438,3961,2557,5126,5659,5464,7600,2077,3121,6562,5304,5322,8094,5381,7062
LOC100288175,58,84,109,131,359,92,62,233,147,108,103,98,87,163,137,25,251,90,126,140,93,102,237,62,110,72,47,124,133,130,53,86,106
LOC105378948,10,5,5,7,32,3,5,18,2,11,2,4,0,2,7,5,9,10,3,5,0,14,5,5,10,0,0,11,0,5,4,6,14
RNF223,64,56,142,74,348,42,22,175,66,72,168,32,48,96,94,22,158,42,90,118,68,18,202,46,62,24,30,62,148,156,36,74,64
C1orf159,252,409,356,211,831,285,225,411,416,287,290,434,331,452,273,326,332,299,316,268,249,463,375,282,346,218,247,430,283,524,274,530,452
LINC01342,4,7,2,0,12,2,4,6,0,2,7,3,6,4,2,15,5,6,0,4,8,8,6,12,8,6,0,4,3,6,6,6,12
MIR200B,2,2,2,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR200A,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
