"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MXRA8",321.565532109834,-1.04106610886253,0.172564707413361,-6.03290281348644,1.61040275931479e-09,5.48158841671644e-08
"LOC105378604",20.3973247710928,-2.41721176590246,0.645641219059267,-3.74389319415582,0.000181190698660814,0.00140221840594855
"LINC01134",34.3607714372313,-1.50894189370442,0.547050393942445,-2.75832338375607,0.00580986909779195,0.0245082815568569
"ESPN",681.446719502948,-1.50700197580354,0.168425349507201,-8.94759595401111,3.63308109303508e-19,7.39169343996627e-17
"SLC2A7",15.7468487595972,-2.96704949398642,0.78033815278274,-3.80226121637871,0.000143381434879255,0.00115276470951651
"SLC2A5",46.5158130240236,-1.34117519971465,0.483657242245255,-2.77298690595139,0.00555443556526531,0.0236211610999234
"RBP7",29.88541728315,1.77506740586461,0.564551968085528,3.14420550491411,0.00166538441617497,0.00877602039574648
"EXOSC10-AS1",5.11448584304906,-3.73352871752284,1.49613933548182,-2.49544185423111,0.0125800371094038,0.0458993205819576
"NPPB",751.038943617611,2.65459252297839,0.582925599268231,4.5539131002495,5.26571150600051e-06,6.75746134796863e-05
"KAZN-AS1",4.57164307656029,4.74806574480749,1.84184319858247,2.57788814404056,0.00994061703281616,0.037904260803409
"TMEM82",149.211202381102,-1.10557926155891,0.249721681411547,-4.4272457854266,9.54439555019176e-06,0.000112326066253733
"EPHA2",1737.25227682631,1.09337843492102,0.140622632940605,7.77526641378445,7.52887848785222e-15,7.88038300225382e-13
"RNF186",14.3305433556553,-3.16582154054179,0.83527691388528,-3.7901461035431,0.000150558700634716,0.00120411010483743
"PLA2G2A",4499.55860640148,-1.39976896794517,0.115172779005793,-12.1536441165039,5.48644803136303e-34,3.99484979048855e-31
"CDA",36.4460970124522,-1.32415894452785,0.438319459675494,-3.02099054764345,0.00251949225142743,0.0124010470170972
"SH2D5",99.9025158486559,1.18496884279216,0.344434274320358,3.44033370410176,0.000580997352312305,0.00368465755538747
"EPHB2",285.521584538122,-1.15937139776403,0.19480664946228,-5.95139540135931,2.65865912482586e-09,8.64554647834147e-08
"LOC105376863",15.49329235503,-1.92132907928741,0.70279695829281,-2.73383237735488,0.00626019047021666,0.0260859442161529
"MYOM3",59.1169249919761,-2.20090623101547,0.418541827142755,-5.2585096357999,1.45227577293478e-07,2.99892261027604e-06
"MAN1C1",52.5192810680481,-1.22374910034782,0.368912901899448,-3.31717620621836,0.000909322479092445,0.00533208107750742
"CNKSR1",16.4788369741186,-1.84044406260129,0.738273334448303,-2.4929033417909,0.012670333285226,0.0461684228737336
"LAPTM5",29.9961909170719,-1.97869190635321,0.601995714901603,-3.28688702821852,0.00101301464202836,0.00582587781938496
"LOC105378641",13.7067685869108,-3.08629245822163,0.89755887385871,-3.43854041011628,0.000584859239167595,0.00370167712711251
"ZC3H12A",243.370515787,1.03966769759312,0.179745858580932,5.78409820288017,7.29023472181549e-09,2.1159369304375e-07
"CLDN19",86.4951618151621,-1.41083147544764,0.33057329012397,-4.26783263378163,1.97381322881805e-05,0.000209742703953146
"TSPAN1",112.505211741067,-2.90968797219597,0.315735958391393,-9.21557363000467,3.09618334114658e-20,7.62526211973263e-18
"PDZK1IP1",81.3800173373855,-1.05361614362036,0.336355347363171,-3.13244951174432,0.00173354239819342,0.00906388839917113
"SLC5A9",330.798589753185,-1.74316304822213,0.245336965367024,-7.10517897543226,1.2016671285033e-12,8.31583446324163e-11
"SPATA6",19.6968533846641,1.71048288828672,0.645308140215013,2.65064514406527,0.00803381999127595,0.0319424201027087
