"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",270.267687079188,0.602109543027417,0.266430013746602,2.25991634561141,0.0238264432425406,0.0973447555600667
"MIR6859-1",1.35424769271883,-0.124882365249633,2.38388972607249,-0.0523859656274366,0.95822115656932,NA
"LOC100996442",1.4119759659909,-4.01124072225574,3.13764381356098,-1.27842449959395,0.201099790156355,NA
"SEPTIN14P18",0,NA,NA,NA,NA,NA
"LOC729737",2.27009059750371,0.291578741555555,1.94529739498267,0.149889031007597,0.880852165935739,NA
"LOC102725121",0.584870297045969,2.62827631636853,3.84478955420203,0.683594324036811,0.494231369816808,NA
"WASH9P",115.665079694842,0.145296435862286,0.26385026643804,0.550677616603453,0.581854691308224,0.75964931783513
"LOC100132287",5.16561904294962,-1.3638825646393,1.3120309114658,-1.03952014599685,0.298562893586175,NA
"MIR12136",1.87508755244154,3.20677852301435,2.37828108671216,1.34835976324714,0.177542698838392,NA
"SEPTIN14P14",0.333750389663713,-1.93861922496395,4.04148650728414,-0.479679746912405,0.631455131312226,NA
"LOC100288069",38.9553183380844,-0.252015864730509,0.420550652737843,-0.599252106945623,0.54900478003481,0.736010929450772
"LINC01409",6.51301788294136,-0.361548354588246,1.0475312727514,-0.345143256333167,0.729986675318086,NA
"FAM87B",1.12366277123014,2.37338872015256,2.81380797819285,0.843479277387242,0.398960450588934,NA
"LINC00115",4.75059477539486,0.60686866723487,1.42552074856518,0.425717175878146,0.670313944899741,NA
"LINC01128",276.729238986779,0.226592931474728,0.215886158448936,1.04959453214934,0.293904572070557,0.500566247618389
"LOC107984850",2.20931165575443,-0.775684158748158,1.76787111329643,-0.438767369925396,0.660830105929573,NA
"LOC284600",1.50210335890823,3.98566954204242,2.69760591276885,1.47748398799715,0.139545947299899,NA
"LINC02593",0.252507532229675,1.48218483963678,4.06014760525831,0.365056885547017,0.715068943502583,NA
"SAMD11",10.8950143670367,0.343173840660546,0.815704488908435,0.420708535170349,0.673967927847592,0.822949143326339
"NOC2L",5364.31924775672,-0.0955829252985094,0.131191499356147,-0.728575599544214,0.466261308775934,0.671144676107961
"KLHL17",110.302462780536,-0.0187251833221469,0.279109741596931,-0.0670889636994053,0.94651087979294,0.975731491017253
"PLEKHN1",141.528919311914,0.0889078686958277,0.247510253361908,0.359208830697722,0.719438870953426,0.852509191174681
"PERM1",8.5652437574963,1.3759725643459,0.969233289214877,1.41965054198716,0.155709443400965,NA
"HES4",995.051668301425,0.175757884956282,0.158436404286192,1.10932765577538,0.267288858702833,0.471651036291733
"RPL39P12",3.64917091575304,-0.14857491493293,1.55552565166909,-0.0955142814736017,0.923906347145885,NA
"ISG15",289.82484225492,1.1804836694465,0.281799897696424,4.18908480484333,2.80081724644973e-05,0.000924831102357765
"AGRN",4871.95306025014,-0.350403979964521,0.135581420623075,-2.58445425895533,0.00975332407074097,0.0533392780054613
"LOC100288175",162.966078302039,0.600029996463794,0.263869318730058,2.27396652006228,0.0229679995820594,0.0952513459590527
"LOC105378948",7.39347167996244,-0.49948678898704,0.947817603023219,-0.526986191640507,0.5982031775271,NA
"RNF223",115.417763994379,0.845404756510621,0.271639920949659,3.11222574927524,0.001856824488882,0.0167407561493195
"C1orf159",286.097094240148,0.206865220351335,0.204916960278726,1.00950755891537,0.312731278319099,0.521103732914054
"LINC01342",3.02888882805132,1.77691650809874,1.55477834809203,1.14287448772316,0.25309070640477,NA
"MIR200A",0.166181382408147,0.839865322524194,4.0804728567969,0.205825489348672,0.836927229851064,NA
"MIR429",0.87991194208007,-0.447650166831534,3.36970222666717,-0.132845615641916,0.89431547797895,NA
"TTLL10-AS1",1.39134473930947,-1.68189894479262,2.88319394365523,-0.583345753931614,0.559660567500744,NA
"TTLL10",0.853619575993294,-3.28829842963963,3.32238266253863,-0.989741027340614,0.322300716086422,NA
"TNFRSF18",3.21073013574224,-0.786059844583521,1.70004455055048,-0.462376026751176,0.643811687913632,NA
"TNFRSF4",0.837377829275643,3.15051548450861,3.33724194286982,0.944047671233377,0.345145288182427,NA
"SDF4",6843.66825415264,-0.0763875150818042,0.130312668446787,-0.586186408369015,0.557750254310426,0.742365137840594
"B3GALT6",1404.2672559551,0.436595189954889,0.151989176787342,2.87254131631858,0.00407184831613593,0.0285568699787281
"C1QTNF12",122.012509764517,0.368173364062671,0.289832459201434,1.27029720921214,0.203978781925583,0.398338964808837
"UBE2J2",2313.66924614596,0.340377063073234,0.129770092332783,2.62292379510965,0.0087178769450885,0.0492385689858599
"LINC01786",3.51997118944288,0.608561790730211,1.73671520423421,0.350409663741357,0.726031274968522,NA
"SCNN1D",10.65051609764,-0.393614806238951,0.998879762913773,-0.394056242656033,0.693539515921466,0.835470747876076
"ACAP3",898.009567248918,-0.233705111099499,0.144321746638784,-1.61933399880774,0.105375419251909,0.262924262172467
