"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","9/229","68/8876",0.132352941176471,5.12997688158233,5.56330175108799,5.67143719454066e-05,0.010649776077125,0.00971002866746285,"54576/54579/54657/54659/7367/127/54905/1592/1555",9
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","9/229","73/8876",0.123287671232877,4.77860860202189,5.27530021995033,9.99076723483116e-05,0.010649776077125,0.00971002866746285,"54576/54579/54657/54659/7367/127/1557/1555/4129",9
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","10/229","95/8876",0.105263157894737,4.0799816134222,4.91142063451309,0.000159173254969038,0.010649776077125,0.00971002866746285,"6280/6364/2919/2920/4312/4314/2353/6347/1440/2354",10
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","10/229","95/8876",0.105263157894737,4.0799816134222,4.91142063451309,0.000159173254969038,0.010649776077125,0.00971002866746285,"3552/6364/2919/2920/4312/4314/2353/6347/3589/3689",10
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","8/229","63/8876",0.126984126984127,4.92188258127123,5.083609343321,0.00019795122819935,0.010649776077125,0.00971002866746285,"54576/54579/54657/54659/7367/6783/1109/1586",8
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","6/229","36/8876",0.166666666666667,6.45997088791849,5.34176326945499,0.000281228356463762,0.0126084046481253,0.0114958257993082,"54576/54579/54657/54659/7367/441282",6
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","10/229","105/8876",0.0952380952380952,3.69141193595342,4.51460190682848,0.000363016341411929,0.013950199405687,0.0127192191802977,"51032/1293/4311/4224/136227/1306/1289/1308/59272/7512",10
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","5/229","30/8876",0.166666666666667,6.45997088791849,4.87468637450372,0.000920312262560227,0.0309454998285876,0.0282148364705964,"54576/54579/54657/54659/7367",5
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","6/229","46/8876",0.130434782608696,5.0556293905449,4.48772274741084,0.0010909611323645,0.032607616067339,0.0297302858293484,"54576/54579/54657/54659/1356/7367",6
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","14/229","216/8876",0.0648148148148148,2.51221090085719,3.66141946889432,0.00138480750587252,0.0362451967179727,0.0330468825485722,"1573/3310/2919/2920/4846/4312/4314/834/2353/7157/6347/5608/1555/5452",14
"Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","7/229","66/8876",0.106060606060606,4.11089056503904,4.1279833780423,0.00148214559069777,0.0362451967179727,0.0330468825485722,"4578/4574/4566/4563/4573/4564/4576",7
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","6/229","50/8876",0.12,4.65117903930131,4.21313487785932,0.00169886671414409,0.0380829288420632,0.0347224512627695,"26/4846/1610/2628/58510/4129",6
