"","SKA03_16","SKA03_19","SKA03_20","SKA03_27","SKA03_28","SKA03_29","SKA03_36","SKA03_38","SKA03_39","SKA03_41","SKA03_43","SKA03_45","SKA03_46","SKA03_48","SKA03_49","SKA03_56","SKA03_58","SKA03_59"
"WASH7P",381.674366023349,209.718848841379,347.161762746989,180.826388925705,412.221459804031,370.768978138819,186.995610524225,128.996631526222,149.337456075589,261.149031061274,187.787863341985,170.2068006891,157.382496640627,135.757888512288,166.300038295877,130.325800439852,117.902914802189,187.877954533194
"MIR6859-1",1.92764831324924,1.09228567104885,0.72325367238956,0.738066893574306,10.3486558946619,1.76556656256581,0,1.04029541553405,0,0,4.06027812631319,0,0.855339655655584,0,2.7412094224595,0.880579732701705,0,0
"LOC100996442",0,0,0,1.47613378714861,0,0,0,0,1.97797955067005,0,8.12055625262637,0,2.56601896696675,0,0,0,3.44242087013691,0
"SEPTIN14P18",0,0,0,0,0,0,2.05489681894753,0,0,0,0,0,0,0,0,0,1.72121043506845,1.75586873395509
"LOC729737",5.78294493974771,0,1.44650734477912,1.47613378714861,3.44955196488729,0,0,0,0,0,2.03013906315659,3.84648137150509,0,0,0,0,2.58181565260268,0
"LOC102725121",1.92764831324924,0,1.44650734477912,0,0,3.53113312513161,1.02744840947377,1.04029541553405,0,0,0,0,0,0,3.65494589661267,1.76115946540341,0,0
"WASH9P",126.260964517825,110.320852775934,113.550826565161,146.137244927713,234.569533612336,210.102420945331,124.321257546326,86.3445194893261,126.590691242883,98.4330963230957,103.537092220986,114.432820802276,134.288325937927,121.810160240477,95.9423297860827,137.370438301466,126.508966977531,150.12677675316
"LOC100132287",3.85529662649848,0,4.33952203433736,19.9278061265063,6.89910392977458,3.53113312513161,3.0823452284213,0,9.88989775335026,2.00883870047134,6.09041718946978,13.4626848002678,8.55339655655584,5.57909130872415,9.13736474153168,0,12.0484730454792,3.51173746791018
"MIR12136",7.71059325299695,0,2.16976101716868,0,0,0,0,0,0,0,0,0.961620342876272,0,1.85969710290805,0,0,0,0
"SEPTIN14P14",0,0,0,0,0,0,2.05489681894753,0,0,0,0,1.92324068575254,0,0,0,0,3.44242087013691,0
"LOC100288069",30.8423730119878,33.8608558025143,37.6091909642571,109.233900248997,93.1379030519568,90.043894690856,43.1528331978982,31.2088624660215,34.6146421367259,42.1856127098982,38.5726421999753,41.3496747436797,46.1883414054015,73.458035564868,66.7027626131813,36.9843487734716,61.1029704449301,34.2394403121242
"LINC01409",4.8191207831231,6.55371402629309,5.06277570672692,17.7136054457834,3.44955196488729,7.06226625026322,9.2470356852639,5.20147707767025,11.8678773040203,11.0486128525924,8.12055625262637,1.92324068575254,3.42135862262233,13.9477282718104,5.48241884491901,1.76115946540341,0.860605217534227,4.38967183488772
"FAM87B",0,1.09228567104885,4.33952203433736,2.95226757429723,6.89910392977458,1.76556656256581,10.2744840947377,0,1.97797955067005,0,1.0150695315783,0,0,0,5.48241884491901,9.68637705971876,0,1.75586873395509
"LINC00115",11.5658898794954,4.36914268419539,0.72325367238956,3.69033446787153,6.89910392977458,7.06226625026322,2.05489681894753,2.0805908310681,7.91191820268021,5.02209675117835,0,5.76972205725763,6.84271724524467,3.7193942058161,9.13736474153168,3.52231893080682,13.7696834805476,3.51173746791018
"LINC01128",234.209270059782,322.22427295941,303.043288731226,363.128911638559,305.285348892525,264.834984384871,332.8932846695,267.355921792251,263.071280239117,255.12251495986,213.164601631442,266.368834976727,279.696067399376,278.954565436207,337.168758962519,164.668410015219,197.078594815338,208.070444973678
"LOC107984850",0,3.27685701314654,1.44650734477912,2.95226757429723,6.89910392977458,24.7179318759213,0,0,0,2.00883870047134,4.06027812631319,1.92324068575254,3.42135862262233,3.7193942058161,1.82747294830634,0,0,1.75586873395509
"LOC284600",5.78294493974771,0,2.89301468955824,4.42840136144584,17.2477598244364,10.5933993753948,2.05489681894753,2.0805908310681,0,0,0,0,0.855339655655584,0,0,0,1.72121043506845,14.0469498716407
"LINC02593",0,0,1.44650734477912,0.738066893574306,0,0,0,2.0805908310681,0,0,0,0,1.71067931131117,0,1.82747294830634,0.880579732701705,3.44242087013691,1.75586873395509
"SAMD11",9.63824156624619,10.9228567104885,14.4650734477912,10.3329365100403,6.89910392977458,26.4834984384871,26.7136586463179,8.3223633242724,19.7797955067005,14.0618709032994,4.06027812631319,9.61620342876272,8.55339655655584,1.85969710290805,4.56868237076584,5.28347839621023,28.3999721786295,19.314556073506
"NOC2L",4427.8081755335,5300.86236160006,5210.31945589439,4184.83928656632,5115.68556392785,4608.12872829675,3565.24598087397,3481.86875579246,3243.88646309888,5419.84681387168,5381.89865642813,5162.9396209027,5335.60877197953,5316.87401721412,5261.29461817394,3133.98326868537,2971.66981614569,2889.2820017231
"KLHL17",121.441843734702,96.1211390522986,98.3624994449801,132.113973949801,86.2387991221822,128.886359067304,92.470356852639,111.311609462143,95.9320082074975,91.402160871446,117.748065663082,110.586339430771,88.9553241881807,136.687737063742,132.491788752209,61.6405812891194,56.799944357259,103.59625530335
"PLEKHN1",135.899206084071,148.550851262643,135.971690409237,121.042970546186,239.743861559667,187.150055631975,59.5920077494785,72.8206790873835,50.4384785420863,126.556838129695,149.21522114201,119.240922516658,140.275703527516,113.441523277391,155.335200606039,66.0434799526279,59.3817600098617,45.6525870828323
