"","SKA03_16","SKA03_19","SKA03_20","SKA03_41","SKA03_43","SKA03_45"
"WASH7P",394.846964601757,218.468941968672,363.610846410731,271.5462473013,195.911665281237,177.221456911432
"MIR6859-1",1.99417658889776,1.1378590727535,0.757522596689024,0,4.23592789797269,0
"LOC100996442",0,0,0,0,8.47185579594538,0
"SEPTIN14P18",0,0,0,0,0,0
"LOC729737",5.98252976669329,0,1.51504519337805,0,2.11796394898635,4.00500467596456
"LOC102725121",1.99417658889776,0,1.51504519337805,0,0,0
"WASH9P",130.618566572804,114.923766348104,118.931047680177,102.352047059721,108.016161398304,119.148889109946
"LOC100132287",3.98835317779553,0,4.54513558013414,2.08881728693307,6.35389184695904,14.0175163658759
"MIR12136",7.97670635559106,0,2.27256779006707,0,0,1.00125116899114
"SEPTIN14P14",0,0,0,0,0,2.00250233798228
"LOC100288069",31.9068254223642,35.2736312553586,39.3911750278292,43.8651630255946,40.2413150307406,43.053800266619
"LINC01409",4.98544147224441,6.82715443652101,5.30265817682317,11.4884950781319,8.47185579594538,2.00250233798228
"FAM87B",0,1.1378590727535,4.54513558013414,0,1.05898197449317,0
"LINC00115",11.9650595333866,4.55143629101401,0.757522596689024,5.22204321733269,0,6.00750701394683
"LINC01128",242.292455551078,335.668426462283,317.401968012701,265.2797954405,222.386214643566,277.346573810545
"LOC107984850",0,3.41357721826051,1.51504519337805,2.08881728693307,4.23592789797269,2.00250233798228
"LOC284600",5.98252976669329,0,3.0300903867561,0,0,0
"LINC02593",0,0,1.51504519337805,0,0,0
"SAMD11",9.97088294448882,11.378590727535,15.1504519337805,14.6217210085315,4.23592789797269,10.0125116899114
"NOC2L",4580.62362469816,5522.03008007275,5457.19278654773,5635.62904014543,5614.7224287628,5375.71752631342
"KLHL17",125.633125100559,100.131598402308,103.023073149707,95.0411865554549,122.841909041208,115.143884433981
"PLEKHN1",140.589449517292,154.748833894476,142.414248177536,131.595489076784,155.670350250496,124.155144954901
"PERM1",5.98252976669329,11.378590727535,19.6955875139146,2.08881728693307,4.23592789797269,8.01000935192911
"HES4",1096.79712389377,1053.65750136974,1016.59532475667,1067.3856336228,802.708336665825,933.166089499741
"RPL39P12",0.997088294448882,7.96501350927452,1.51504519337805,0,7.41287382145221,4.00500467596456
"ISG15",599.250064963778,335.668426462283,271.95061221136,198.437642258642,169.437115918908,164.205191714547
"AGRN",4056.15518181805,4507.05978717662,4286.82037466319,4876.34395634526,5435.75447507346,6069.58458642428
"LOC100288175",250.269161906669,159.30027018549,179.532855415299,112.796133494386,138.726638658606,137.171410151786
"LOC105378948",8.97379465003994,5.68929536376751,3.78761298344512,11.4884950781319,7.41287382145221,7.00875818293797
"RNF223",157.539950522923,134.267370584913,153.019564531183,75.1974223295907,78.3646661124948,94.117609885167
"C1orf159",331.033313757029,304.946231497939,284.070973758384,299.745280674896,223.445196618059,273.341569134581
"LINC01342",4.98544147224441,4.55143629101401,4.54513558013414,2.08881728693307,0,2.00250233798228
"MIR200A",0.997088294448882,0,0,0,0,0
"MIR429",0,2.275718145507,0,0,0,3.00375350697342
"TTLL10-AS1",1.99417658889776,0,0,0,6.35389184695904,0
"TTLL10",0,0,0,0,2.11796394898635,3.00375350697342
"TNFRSF18",3.98835317779553,0,3.0300903867561,0,4.23592789797269,8.01000935192911
"TNFRSF4",1.99417658889776,0,3.0300903867561,0,0,0
"SDF4",5946.63458809313,7215.16438032996,6826.03611876479,7346.37039814362,6789.13343847573,6938.67060110859
"B3GALT6",1679.09668785192,1496.28468067086,1669.57980310261,1365.04209701076,1062.15892041665,1153.44134667779
"C1QTNF12",159.534127111821,138.818806875927,114.385912100043,133.684306363717,99.5443056023583,86.1076005332379
"UBE2J2",2716.06851407875,2596.59440402349,2443.76789691879,2153.570622828,2039.59928287385,1932.4147561529
"LINC01786",8.97379465003994,2.275718145507,1.51504519337805,8.3552691477323,0,0
"SCNN1D",21.9359424778754,1.1378590727535,4.54513558013414,6.26645186079922,18.0026935663839,12.0150140278937
"ACAP3",882.423140587261,810.155659800494,784.03588757314,1009.94315823214,957.319704941828,944.179852358644
"PUSL1",2259.40207522117,1821.71237547836,1624.12844730127,1577.05705163447,1306.78375652458,1501.87675348671
"INTS11",2303.27396017692,2738.82678811768,2671.78219852219,2994.31958081856,2777.70971909559,2566.20674612429
"CPTP",2117.81553740943,2023.11343135573,2177.11994288425,1877.84674095283,1581.06008791831,1850.31216029562
"TAS1R3",17.9475893000799,27.3086177460841,37.8761298344512,14.6217210085315,14.8257476429044,14.0175163658759
"DVL1",2199.57677755423,2223.37662816034,2369.53068244327,2142.08212774987,1919.93431975612,2107.63371072635
"MXRA8",227.336131134345,320.876258516488,256.800160277579,499.227331577005,455.362249032064,491.614323974649
"AURKAIP1",11952.0973855587,7000.10901557955,7994.89348545596,6913.98521974848,4993.10000973531,4838.04564856518
"CCNL2",923.303760659665,714.575497689199,844.637695308262,723.77518992231,602.560743486615,596.745696718719
"MRPL20-AS1",767.757986725639,674.750430142827,706.01106011417,839.704549347096,658.686788134754,584.730682690825
"MRPL20",4269.53207683011,3068.8059192162,3126.2957565356,2740.52828045619,2127.49478675678,2316.8952050455
"LOC107984868",0,0,0,0,0,0
"ANKRD65",13.9592361222843,6.82715443652101,7.57522596689024,2.08881728693307,8.47185579594538,12.0150140278937
"LOC105378585",4.98544147224441,0,0,0,0,0
"TMEM88B",0,0,0,0,0,0
"LINC01770",5.98252976669329,6.82715443652101,9.09027116026829,0,7.41287382145221,9.01126052092025
"LOC107985729",5.98252976669329,0,0,0,2.11796394898635,2.00250233798228
"VWA1",1636.22189119062,1856.98600673372,1476.41154094691,1788.02759761471,1611.77056517861,1576.97059116104
"ATAD3C",9.97088294448882,4.55143629101401,11.3628389503354,5.22204321733269,1.05898197449317,4.00500467596456
"ATAD3B",3405.05652554293,2911.78136717621,3165.68693156343,2686.21903099593,2270.45735331336,2395.99404739579
"ATAD3A",6243.7668998389,5643.78100085737,5843.52931085913,5352.594297766,4487.96560790207,4485.6052370803
"TMEM240",1.99417658889776,2.275718145507,0,6.26645186079922,3.17694592347952,3.00375350697342
"SSU72",5962.58800080431,4508.19764624938,4576.19400659839,3921.75445621685,3222.48214838273,3261.07505740414
"FNDC10",222.350689662101,170.678860913025,164.382403481518,183.815921250111,142.962566556578,170.212698728494
"LOC105378586",0,0,0,0,1.05898197449317,2.00250233798228
"MIB2",533.442237530152,530.242327903132,513.600320555158,477.294750064207,475.482906547435,482.603063453729
"MMP23B",0,0,0,0,0,4.00500467596456
"CDK11B",3607.46544931606,1338.12226955812,2391.49883774725,1823.53749149257,1356.55590932575,1588.98560518894
"SLC35E2B",277.190545856789,355.012030699093,310.5842646425,349.87689556129,497.721528011791,527.65936605833
"LOC100288379",2.99126488334665,0,1.51504519337805,2.08881728693307,0,4.00500467596456
"CDK11A",1539.50432662907,491.555119429513,809.034133263877,623.511960149523,421.474825848283,450.563026046012
"SLC35E2A",342.998373290415,438.075743010098,387.85156950478,619.334325575656,695.751157242015,644.805752830293
"LOC100129381",12.9621478278355,11.378590727535,10.6053163536463,4.17763457386615,15.8847296173976,4.00500467596456
