"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-211859","Biological oxidations","19/260","222/11146",0.0855855855855856,3.66898821898822,6.20761599787598,1.04018563591803e-06,0.000784299969482191,0.000741269132122635,"1573/27233/54576/54579/54657/54659/13/7367/27284/6783/127/54905/26/1592/1557/1800/1555/5740/4129",19
"R-HSA-1474228","Degradation of the extracellular matrix","13/260","140/11146",0.0928571428571429,3.98071428571429,5.48481720267661,2.30796434430978e-05,0.00749308135374745,0.00708197134788081,"1520/4811/1293/2201/222663/136227/1306/1289/1308/4312/4314/2200/5650",13
"R-HSA-8963743","Digestion and absorption","6/260","27/11146",0.222222222222222,9.52649572649573,6.85507390158279,2.98133210361304e-05,0.00749308135374745,0.00708197134788081,"6518/2981/3938/6476/11181/2984",6
"R-HSA-9749641","Aspirin ADME","7/260","44/11146",0.159090909090909,6.82010489510489,5.97790603367941,6.35036275329149e-05,0.0116016933088809,0.0109651631580516,"54576/54579/54657/54659/7367/213/1557",7
"R-HSA-1474244","Extracellular matrix organization","19/260","300/11146",0.0633333333333333,2.71505128205128,4.65366892579638,7.69343057618094e-05,0.0116016933088809,0.0109651631580516,"1520/4811/3694/1293/2199/4015/2201/222663/3910/136227/1306/1289/1308/4312/4314/83700/2200/5650/3689",19
"R-HSA-8935690","Digestion","5/260","22/11146",0.227272727272727,9.74300699300699,6.34357708264266,0.000126403609383782,0.0158847202458953,0.0150132006233019,"2981/3938/6476/11181/2984",5
"R-HSA-211945","Phase I - Functionalization of compounds","10/260","106/11146",0.0943396226415094,4.04426705370102,4.86680212415286,0.00017874661769134,0.0182900288476655,0.0172865412953644,"1573/13/127/54905/26/1592/1557/1555/5740/4129",10
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","10/260","108/11146",0.0925925925925926,3.96937321937322,4.79207951414775,0.00020861736270477,0.0182900288476655,0.0172865412953644,"3552/6935/4312/4314/2353/10538/7157/6347/3689/3561",10
"R-HSA-156588","Glucuronidation","5/260","25/11146",0.2,8.57384615384616,5.85877889577248,0.000240834852979852,0.0182900288476655,0.0172865412953644,"54576/54579/54657/54659/7367",5
"R-HSA-9748784","Drug ADME","10/260","110/11146",0.0909090909090909,3.8972027972028,4.71912996412316,0.000242573326892115,0.0182900288476655,0.0172865412953644,"27233/54576/54579/54657/54659/7367/6783/213/6580/1557",10
"R-HSA-5620971","Pyroptosis","5/260","28/11146",0.178571428571429,7.65521978021978,5.44904793385846,0.000420747419687223,0.0288403231312879,0.0272579907299761,"3552/8626/838/834/7157",5
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","7/260","61/11146",0.114754098360656,4.91941992433796,4.74363658867056,0.000516114211877522,0.032429176312971,0.0306499404772879,"1520/1293/4015/1306/1289/1308/4314",7
"R-HSA-1442490","Collagen degradation","7/260","64/11146",0.109375,4.68882211538462,4.57363152177362,0.000692600298781763,0.0394222609943006,0.0372593476101376,"1293/136227/1306/1289/1308/4312/4314",7
"R-HSA-6783783","Interleukin-10 signaling","6/260","47/11146",0.127659574468085,5.47266775777414,4.7486065524142,0.000731978320849084,0.0394222609943006,0.0372593476101376,"3552/6364/2919/2920/6347/1440",6
